date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2011-01-03 | 1000
2011-01-03 | 0
2011-01-03 | 999.999
2011-01-03 | 0.0001
2011-01-03 | 500.5
2011-01-03 | 1001
2011-01-03 | -0.1
2011-01-03 | abc
2011-01-03 | 1.2.3
2011-01-03 | 
 | 1
2011-01-03 | 1 | 2
2011-01-32 | 1
2011-13-01 | 1
2011-01-00 | 1
2011-00-01 | 1
0000-01-01 | 1
2011-01-01 | 1.1.1
2011-01-01 | 1,1
2011-01-01 | .1
2011-01-01 | 1.
2011-01-01 | 1e3
2011-01-01 | 1E-3
2011-01-01 | 1e-3
2011-01-01 | 1E3
